gene_id,s1,s10,s11,s12,s2,s3,s4,s5,s6,s7,s8,s9
Gm10714,0,0,0,0,0,0,0,0,0,0,0,0
Rapsn,20,47,28,32,15,23,13,32,42,27,58,42
Mocs3,157,119,103,117,119,102,106,107,142,85,225,152
Ndufs3,1225,1703,1377,1008,1095,883,1110,1382,1527,1021,2152,1474
Ndufaf1,298,378,270,200,273,186,226,257,332,214,412,294
Olfr1145,0,0,0,0,0,0,0,0,0,0,0,0
Fmnl2,1312,1587,1427,1139,1320,1384,1507,1205,1425,1210,1914,1617
Trp53i11,300,376,319,254,221,191,200,429,537,287,749,342
Olfr1273-ps,0,0,0,0,0,0,0,0,0,0,0,0
Sh3glb2,1113,1258,1038,939,1022,808,963,908,1031,603,1292,1129
Prkcq,0,3,12,9,0,2,0,9,3,0,29,5
Crnkl1,872,920,822,588,697,672,758,892,1006,652,1307,948
4930402F06Rik,0,0,0,0,0,0,0,0,0,0,0,0
Fnbp1,2384,2804,2707,2275,1926,1972,2371,1828,2134,1430,3243,3076
Fnbp4,1587,1864,1520,1547,1377,1158,1471,1419,1542,1195,3094,1651
Ppapdc3,329,314,269,250,287,224,263,235,238,183,387,302
Lsm14b,1084,1047,970,803,861,821,978,974,1259,779,1675,1076
Chrm5,1,3,4,7,1,0,4,0,0,1,2,2
Chrm4,0,9,9,10,3,5,8,7,4,2,8,7
Lrrc26,0,2,0,0,2,2,0,7,0,0,0,0
Arfgap2,2443,2811,2314,1990,2025,1926,2206,2183,2378,1617,3729,2716
Arfgap1,2362,2494,1880,1775,1892,1565,1986,2310,2790,1708,4170,2194
Mvb12b,1505,1499,1340,981,1279,1047,1364,1239,1336,955,1922,1592
Rbbp9,1375,1720,1452,946,1181,1085,1153,1138,1151,875,1613,1520
Gm14436,0,0,0,0,0,0,0,0,0,0,0,0
Gm14434,0,0,0,0,664,0,0,0,0,0,1,0
Gm14431,363,629,356,244,823,555,0,0,427,0,75,340
Gm14430,0,0,0,0,0,0,0,0,0,0,1,0
1700021F07Rik,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1198,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1199,0,0,0,0,0,0,0,0,0,0,0,0
Snta1,1250,1373,1071,897,1031,951,1145,1131,1200,1118,2006,1146
Hnrnpa3,6941,11018,8071,5372,6723,6637,8264,11232,12828,9913,20271,7182
Nrsn2,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1193,0,0,0,0,0,0,0,0,0,0,0,0
Cstad,44,67,18,23,32,18,29,32,35,26,44,36
Olfr1195,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1196,0,0,0,0,0,0,0,0,0,0,0,0
Rin2,6869,6553,6290,4404,4367,5282,4744,4025,4640,2845,5945,7277
F830045P16Rik,0,0,0,0,0,0,0,0,0,0,0,0
Fam73b,1924,1850,1644,1328,1416,1421,1366,1200,1212,701,1978,1841
Suv39h2,52,72,45,37,52,45,54,84,119,59,128,54
2810405F15Rik,0,0,0,1,1,0,0,0,0,0,0,0
Snx5,1317,2047,1665,1353,1578,1303,1514,1710,2141,1261,2587,2132
4933406D12Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm8898,758,901,761,371,919,1071,0,0,1085,0,1539,920
Dzank1,203,286,236,156,173,165,169,132,113,65,167,294
Romo1,767,1003,785,684,744,652,744,861,890,599,1197,836
Olfr1228,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1229,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1226,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1225,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1222,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1223,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1220,0,0,0,0,0,0,0,0,0,0,0,0
Dapl1,0,0,0,0,0,0,0,0,0,0,0,0
Stk35,840,1046,897,811,865,753,844,1062,1222,1007,1766,1044
Ddb2,384,524,395,441,357,293,344,323,278,244,550,444
Stk39,344,511,430,342,382,341,408,405,514,406,657,448
Ccdc183,0,0,0,0,0,0,0,0,0,0,0,0
Tyro3,459,453,478,387,510,404,554,579,752,409,840,463
Zfp385b,40,34,47,21,46,33,52,29,30,31,65,38
Ptrh1,90,118,113,82,110,83,107,172,241,140,298,111
Mkks,540,633,508,411,502,488,525,493,645,353,718,648
Gad1,0,0,2,0,0,0,0,0,2,0,0,0
Gad2,1,1,7,1,0,0,0,41,67,7,6,2
Rbbp8nl,0,0,0,0,0,0,0,0,0,0,0,0
Bcl2l1,1893,1918,1578,1283,1688,1374,1592,1447,1538,1145,2296,1844
Ptpla,102,125,76,111,133,80,160,192,188,159,315,91
Spc25,8,6,6,9,17,5,12,144,334,119,150,5
Wdr76,81,140,93,56,82,68,91,162,195,124,224,109
Fam65c,254,289,224,246,284,201,258,188,223,150,350,251
Gm13629,0,0,0,0,0,0,0,0,0,0,0,0
Prrc2b,16121,16889,14564,12082,13343,12169,13783,13168,14570,10504,24651,17813
Cdh22,361,404,395,283,326,228,404,230,291,126,212,369
Camsap1,1350,1430,1330,1070,1306,1112,1382,1229,1457,943,2112,1422
Cdh26,0,0,0,0,0,0,0,0,0,0,0,0
Olfr32,0,0,0,0,0,0,0,0,0,0,0,0
Psmc3,2804,3444,2902,2294,2495,2248,2595,3698,4473,2902,6371,3039
Dolk,587,666,604,463,527,415,526,581,687,410,908,667
Ldlrad3,1055,1139,975,640,824,741,842,881,1065,722,1205,1089
4931423N10Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm13710,0,0,0,0,0,0,0,3,3,0,2,0
Zcchc3,242,243,212,179,189,142,189,222,258,166,410,231
Nkain4,320,312,215,179,362,318,365,203,242,193,357,299
Epb4.2,0,0,0,0,0,0,0,0,0,0,0,0
Gm13539,0,0,0,0,0,0,0,0,0,0,0,0
Prpf40a,1452,1612,1367,957,994,1105,1293,1515,1767,1308,2568,1459
Gchfr,3,0,0,0,3,0,0,0,0,0,4,0
5430405H02Rik,134,166,124,128,105,87,111,107,97,73,184,142
Mir195b,0,0,0,0,0,0,0,0,0,0,0,0
Plcg1,2383,2531,2241,1853,1839,1787,2096,1903,2074,1518,3203,2563
Dido1,1889,2497,1949,1580,1565,1476,1710,2028,2196,1556,3536,2216
Phyh,1002,1355,1172,812,964,778,1004,1019,1058,848,1790,1253
Gins1,40,75,49,26,36,36,34,103,167,100,136,46
4930470P17Rik,0,0,0,0,0,0,0,0,0,0,0,0
Ggta1,164,228,182,157,200,222,169,220,358,161,324,228
Stam2,1162,1292,1114,770,932,956,1028,1394,1556,1180,2098,1234
Gm13446,0,0,0,0,0,0,0,0,0,0,0,0
Lrp1b,0,0,0,0,0,0,0,0,0,0,0,0
Ggt7,81,223,178,112,95,72,89,183,198,132,341,146
Mdk,1827,2137,1626,1099,1731,1229,1548,1395,2014,1096,1966,1563
Fbxo18,2308,2783,2345,1932,2159,2053,2299,2282,2593,1665,3440,2633
